"The photo here is deceiving because you DO NOT GET ALL OF THE ITEMS IN THE PHOTO. If you read the description, it tells you exactly what you get, so yes, TECHNICALLY, I was told. I got it for my Mom's birthday since I live in another state. Disappointingly, she did not get exactly what I was expecting. She texted me an image of what she got.",1.0
When I ordered I thought everything in the picture came but it's only small items:(,2.0
Terrible. It does not come as the picture is shown. It only has two moisturizers and one eye shadow. I WOULDNT BUY AGAIN,1.0
very confusing item .never buy againe.dont trust it.,1.0
Very misleading! My 13 year old daughter spent her money on this thinking she was getting what was pictured. Will be sending this back!! I could get more and better Este lauder products from a department store for this price.,1.0
mine came used and missing items- creams were old and discolored. returned.,1.0
Absolutely love this! Everything in it works amazing. My skin looks gorgeous.,5.0
"Picture is not even REMOTELY what you get... considering I am buying something for my wife, this was a dramatic failure.Chinese crap, and I will also challenge that a majority of these reviews are bogus.",1.0
Dose not come with everything showed,1.0
Let's just say what you see is not what you get.,1.0
Received it on a good condition. Will buy again if needed. I like this Products of estee lauded. It's classy and nice.,5.0
LOVED IT!  Shared with my sister.....a good way of testing new products without paying a fortune for something you're not sure about.,5.0
Very niceThanks,5.0
"The product arrived incomplete the packaging opened and only contains 7 pieces not as it appears in the photo,  now I must return the product",1.0
picture is deceiving about what you will receive and there was no accurate decision.,3.0
Very small sizes just good for travel.,3.0
Very small product samples and not everything shown.  Only 6 small products and the case.,1.0
Very deceiving.... bought as a gift and was hugely disappointed...,1.0
Don't waste your money on this kit  period,1.0
I LIKE ESTEE LAUDER MAKEUP AND THIS WAS A GOOD OFFER.,5.0
I think the products in this package are fake! Besides some items are missing! Very angry!,1.0
Wife loved it.,5.0
"Only a few pieces which r not very helpful, didn't like the pictures showed. Don't want to buy anymore",2.0
Love this set. Nice collection at a good value - the case is a nice size as well.,5.0
Great women's gift,5.0
good,4.0
I like the bag very much,5.0
Good,5.0
Good Value.. everything came in the bag as described.,5.0
My mom really enjoy the make up kits,5.0
MASCARA LIFT was Damaged ....,3.0
Don't buy it scam. wrong pics,1.0
Love it good for my skin,5.0
Hand bag quality too low,4.0
good,3.0
Great buy!,5.0
As expected.,5.0
Great promotion! satisfied with this seller.,5.0
Was very happy with my Water Laurder kit!,5.0
Estee always delivers.  Great quality.,5.0
My wife thinks it's good,5.0
Shipped quickly and exactly as described.,5.0
MY MOM LOVED THIS COLLECTION AND SUCH A GREAT PRICE!,5.0
"Cool Gift for my girlfriend, she loved it",5.0
Works great!,5.0
Very good product,5.0
excelent,5.0
Good product.,4.0
Did not receive all the items in the picture. Will not order again because of the inconsistencies.,1.0
"It seems like used one,bad experience",1.0
Love this,5.0
good,4.0
lov it,5.0
Fine,5.0
I bought this for my mom as a x-mas and everything was there the problem i had was that the little face cream was open and nothing was in it thank god the big 1 closed and full im just not happy paying for something thats open and has no product inside,1.0
When i got my order and open it i was surprised to see just three cream one eye shadow and one lipstick. I was looking to get what the picture was showing. I am send it back,1.0
I like the brand but was hoping it was something different than i tems I have already tried.,3.0
"Even though the picture shows a ton of stuff, it does mention what you're getting when you buy it very clearly in the description, which is detailed about a random selection of the product chosen. My bag was created perfect, they did a night cream, eye cream and day cream which completely makes sense! I'm very happy with it, this product would normally be more costly.",5.0
The eye cream container was almost empty,1.0
"Only 6 sets inside, one eye shadow, one lipstick, not as picture showed.",1.0
"Could,t this picture because not are the same",2.0
Fast shipping! Love the products for the price.,5.0
So,2.0
Nice little set. Good for someone who is buying a gift and knows nothing about makeup.,5.0
Good collection,5.0
"Huge letdown! itty bitty products and a cheap bag. You're basically paying for a pink and black vinyl bag because the contents are microscopic in size.  Purchased for my wife for Christmas, was very embarrassed.",1.0
"Very nice make up bag, creme is great, eyecolors vivid and useful for different occasions, lipstick vivid and bright, yet the color is good even for day make up to go to work, the cosmetic bag is big, so probably will fit all your daily needs ;)",5.0
As a former artist for the Estee Lauder company ...Don't buy this.... I'm 99.9% sure this is a free gift with purchase product,1.0
this is what you get for free if you buy a makeup kit from macys or dillards so not worth it,3.0
It is lacking... And the lipstick is damaged!!!,1.0
Absolutely terrible. Less then 1/2 of what's in the picture actually came in the mail. I love Estée Lauder but this was a huge rip off. Very disappointing.,1.0
sounds like real,4.0
Only 6 pcs ...not 7...picture is very misleading as to what you actually get - avoid,1.0
Looks and smells like something that came out of a chinese $.99 store... Not worth it,1.0
